,SLVID,_id_$oid,FoodCat1ID,FoodCat1Name,FoodCat2ID,FoodCat2Name,FoodCat3ID,FoodCat3Name,Variation_id_$oid,Variation_ID,Variation_Organic,Variation_CO2,Variation_text_en,Variation_text_sv,Variation_text_no,Variation_text_dk,Variation_RegionName,Variation_RegionID,Variation_Source,Name_sv,Name_no,Name_en,Name_dk,Class,Variation_RegionName_dk,Variation_RegionName_no,Variation_RegionName_en,Variation_RegionName_sv,WeightedAverageCO2
1224,2164.0,5b0083876fd2dcf4a031bf8c,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,721,Kål. fän-,5b7bd6c94a40085c09208578,3.0,False,0.47,"Central Europe, Conventional","Centraleuropa, Konventionell","Sentral-Europa, Konvensjonell","Centraleuropa, Konventionel",Centraleuropa,52.0,RISE-1.5,Fänkål kokt,Fennikel kokt,Fennel cooked,Fennikel kogte,5.0,Centraleuropa,Sentral-Europa,Central Europe,Centraleuropa,0.43
1225,337.0,5b0083876fd2dcf4a031c3b4,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,722,Kål. grön-,,3.0,False,0.13,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Grönkål,Grønnkål,Kale,Grønkål,1.0,Danmark,Norge,Scandinavia,Sverige,0.13
1226,337.0,5b0083876fd2dcf4a031c3b4,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,722,Kål. grön-,5b7bd6c84a40085c09207001,1.0,True,0.13,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Grönkål,Grønnkål,Kale,Grønkål,1.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.13
1227,338.0,,5,"Grönsaker, rotfrukter och svamp",129,Kål och broccoli,722,"Kål, grön-",,2.0,False,0.13,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Grönkål fryst,Grønnkål frosne,Kale frozen,Grønkål frosset,4.0,Danmark,Norge,Scandinavia,Sverige,0.13
1228,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,5b7bd6c84a40085c09207006,0.0,True,1.05,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Gurka,Agurk,Cucumber,Agurk,1.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,1.05
1229,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,5b7bd6c84a40085c09207008,2.0,True,0.38,"Spain, Organic","Spanien, Ekologisk","Spania, Økologisk","Spanien, Økologisk",Spanien,12.0,RISE-1.5,Gurka,Agurk,Cucumber,Agurk,1.0,Spanien,Spania,Spain,Spanien,1.05
1230,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,5b7bd6c84a40085c09207009,3.0,False,0.38,"Spain, Conventional","Spanien, Konventionell","Spania, Konvensjonell","Spanien, Konventionel",Spanien,12.0,RISE-1.5,Gurka,Agurk,Cucumber,Agurk,1.0,Spanien,Spania,Spain,Spanien,1.05
1231,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,5b7bd6c84a40085c0920700a,4.0,False,2.15,"Switzerland, Conventional","Schweiz, Konventionell","Sveits, Konvensjonell","Schweiz, Konventionel",Schweiz,65.0,RISE-1.5,Gurka,Agurk,Cucumber,Agurk,1.0,Schweiz,Sveits,Switzerland,Schweiz,1.05
1232,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,5b7bd6c84a40085c0920700b,5.0,False,1.03,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Gurka,Agurk,Cucumber,Agurk,1.0,Danmark,Norge,Scandinavia,Sverige,1.05
1233,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,5b7bd6c84a40085c0920700c,6.0,True,1.03,"Scandinavia, Organic","Sverige, Ekologisk","Norge, Økologisk","Danmark, Økologisk",Sverige,5.0,RISE-1.5,Gurka,Agurk,Cucumber,Agurk,1.0,Danmark,Norge,Scandinavia,Sverige,1.05
